iter	Passed	Remaining
447	1113	1372
448	1115	1369
449	1117	1366
450	1120	1363
451	1122	1360
452	1124	1357
453	1126	1354
454	1128	1351
455	1130	1349
456	1133	1346
457	1134	1343
458	1137	1340
459	1139	1337
460	1141	1334
461	1143	1331
462	1145	1328
463	1147	1325
464	1149	1322
465	1151	1319
466	1153	1316
467	1155	1313
468	1157	1310
469	1159	1308
470	1162	1305
471	1164	1302
472	1166	1299
473	1168	1296
474	1170	1293
475	1172	1290
476	1174	1287
477	1176	1284
478	1178	1282
479	1180	1279
480	1182	1276
481	1185	1273
482	1187	1270
483	1188	1267
484	1191	1264
485	1193	1261
486	1195	1259
487	1197	1256
488	1200	1254
489	1201	1250
490	1203	1248
491	1205	1245
492	1207	1242
493	1210	1239
494	1212	1236
495	1214	1233
496	1216	1231
497	1218	1228
498	1220	1225
499	1222	1222
500	1224	1219
501	1227	1217
502	1229	1214
503	1232	1212
504	1233	1209
505	1235	1206
506	1238	1203
507	1240	1201
508	1242	1198
509	1244	1195
510	1246	1193
511	1249	1190
512	1251	1187
513	1253	1185
514	1255	1182
515	1257	1179
516	1259	1176
517	1261	1174
518	1264	1171
519	1266	1169
520	1268	1166
521	1270	1163
522	1272	1160
523	1275	1158
524	1277	1155
525	1279	1152
526	1281	1150
527	1283	1147
528	1285	1144
529	1287	1141
530	1289	1138
531	1291	1136
532	1293	1133
533	1295	1130
534	1297	1127
535	1299	1125
536	1301	1122
537	1303	1119
538	1306	1117
539	1308	1114
540	1310	1112
541	1312	1109
542	1314	1106
543	1316	1103
544	1318	1101
545	1320	1098
546	1323	1095
547	1324	1092
548	1327	1090
549	1328	1087
550	1330	1084
551	1333	1081
552	1334	1079
553	1336	1076
554	1339	1073
555	1341	1070
556	1343	1068
557	1345	1065
558	1347	1062
559	1349	1059
560	1351	1057
561	1353	1054
562	1355	1052
563	1357	1049
564	1359	1046
565	1361	1043
566	1363	1041
567	1365	1038
568	1367	1035
569	1369	1033
570	1372	1030
571	1373	1028
572	1375	1025
573	1378	1022
574	1379	1019
575	1382	1017
576	1384	1014
577	1386	1011
578	1388	1009
579	1390	1006
580	1392	1004
581	1394	1001
582	1396	998
583	1398	995
584	1400	993
585	1402	990
586	1405	988
587	1407	985
588	1409	983
589	1411	980
590	1413	977
591	1414	974
592	1416	972
593	1418	969
594	1420	967
595	1422	964
596	1424	961
597	1426	959
598	1428	956
599	1431	954
600	1432	951
601	1434	948
602	1437	946
603	1439	943
604	1440	940
605	1443	938
606	1445	935
607	1446	932
608	1449	930
609	1451	928
610	1453	925
611	1455	922
612	1457	920
613	1460	917
614	1462	915
615	1463	912
616	1465	910
617	1468	907
618	1469	904
619	1471	902
620	1473	899
